,0
vacuum,4.750712491278749
vagrant,5.156177599386914
valkyrie,4.750712491278749
vampire,4.750712491278749
vanguard,4.750712491278749
variant,5.156177599386914
variety,5.156177599386914
vault,4.750712491278749
vazquez,5.156177599386914
vell,5.156177599386914
venerable,5.156177599386914
vengeance,3.903414630891546
venom,4.4630304188269685
verde,5.156177599386914
verge,5.156177599386914
versa,5.156177599386914
verse,5.156177599386914
versus,4.750712491278749
vice,5.156177599386914
viciously,5.156177599386914
victim,4.4630304188269685
victor,4.750712491278749
victory,4.750712491278749
video,5.156177599386914
vigil,5.156177599386914
vigilante,5.156177599386914
vignette,5.156177599386914
villain,2.6304489550786583
villainous,4.4630304188269685
villainy,5.156177599386914
villians,5.156177599386914
vindicator,5.156177599386914
violent,4.750712491278749
virus,3.769883238267023
vision,4.239886867512759
visionary,4.4630304188269685
visit,4.750712491278749
voght,4.750712491278749
void,5.156177599386914
vol,4.239886867512759
volatile,5.156177599386914
volcana,5.156177599386914
volume,3.769883238267023
vow,4.750712491278749
voyage,5.156177599386914
wait,4.239886867512759
wake,4.057565310718804
walk,4.750712491278749
walker,5.156177599386914
wall,4.239886867512759
walter,5.156177599386914
wanda,4.057565310718804
want,3.1412745788446492
wants,5.156177599386914
war,2.55348791394253
warlord,5.156177599386914
warm,5.156177599386914
warp,5.156177599386914
warrior,4.4630304188269685
warship,5.156177599386914
wartime,5.156177599386914
waste,4.750712491278749
water,5.156177599386914
watershed,5.156177599386914
watson,5.156177599386914
wax,5.156177599386914
way,2.9589530220506943
wayside,5.156177599386914
wayward,5.156177599386914
weapon,3.364418130158859
weaponize,5.156177599386914
weary,5.156177599386914
weather,5.156177599386914
web,4.239886867512759
week,5.156177599386914
welcome,4.4630304188269685
well,3.1412745788446492
wendigo,5.156177599386914
west,4.239886867512759
westchester,5.156177599386914
whatever,3.903414630891546
whisk,5.156177599386914
white,4.239886867512759
whole,4.057565310718804
whose,3.903414630891546
wiccan,5.156177599386914
widow,4.239886867512759
wife,4.750712491278749
wild,5.156177599386914
wilderness,5.156177599386914
win,3.6521002026106397
wing,5.156177599386914
wipe,3.903414630891546
wisecrack,5.156177599386914
wish,4.750712491278749
witch,3.364418130158859
within,3.903414630891546
without,3.4514295071484886
withstand,5.156177599386914
